Count,Latitude,Longitude,사업장명,업태구분명
158,37.6027117,127.0217672,길음시장,그 밖의 대규모점포
159,37.587867,127.0964921,홈플러스(주)익스프레스 면목점,그 밖의 대규모점포
160,37.5981008,127.0905139,홈플러스(주) 서울 상봉점,대형마트
161,37.6108929,127.0925667,홈플러스 신내점,대형마트
162,37.6124092,127.0785743,주식회사 이마트 묵동점,대형마트
163,37.6088478,127.1113157,홈플러스(주)익스프레스 망우점,그 밖의 대규모점포
164,37.5829136,127.0213683,보문시장,그 밖의 대규모점포
165,37.6059797,127.0277905,미아시장,그 밖의 대규모점포
166,37.6091913,127.0602942,석관시장,그 밖의 대규모점포
167,37.6067801,127.0520634,새석관시장,그 밖의 대규모점포
168,37.6213187,127.0479402,번동시장,그 밖의 대규모점포
169,37.6035795,127.0227022,길음시장,그 밖의 대규모점포
170,37.5956492,127.0117126,동소문스카이프라자,그 밖의 대규모점포
171,37.6113721,127.0296213,신세계이마트미아점,대형마트
172,37.6113721,127.0296213,이마트 미아점,대형마트
173,37.6019636,127.0334892,종암우림카이저팰리스주상복합,그 밖의 대규모점포
174,37.6087366,127.0290288,현대백화점 미아점,백화점
175,37.610856,127.029728,이마트 미아점,대형마트
176,37.6052674,127.0308419,이마트 하월곡점,대형마트
177,37.5977421,127.0124752,GS슈퍼마켓 돈암점,그 밖의 대규모점포
178,37.6077624,127.0199553,GS슈퍼마켓 길음뉴타운점,그 밖의 대규모점포
179,37.6100707,127.0165186,GS수퍼마켓 길음점,그 밖의 대규모점포
180,37.5922248,127.0166991,유타쇼핑몰,쇼핑센터
181,37.6308705,127.0237506,수유시장,그 밖의 대규모점포
182,37.6402778,127.0211111,수유중앙시장,그 밖의 대규모점포
183,37.6202466,127.018795,동북프라자,그 밖의 대규모점포
184,37.6202466,127.018795,동북시장,그 밖의 대규모점포
185,37.6134375,127.0305017,연이스퀘어,쇼핑센터
186,37.6316962,127.0234508,수유프라자,그 밖의 대규모점포
187,37.6127196,127.0297659,숭인시장,그 밖의 대규모점포
188,37.6366852,127.0168097,수유북부시장,그 밖의 대규모점포
189,37.6178374,127.0326782,트레지오,복합쇼핑몰
190,37.6428249,127.0248862,강북종합시장,그 밖의 대규모점포
191,37.6152259,127.0181273,(주)지에스리테일GS수퍼 강북미아점,대형마트
192,37.6367763,127.0296886,강북 북부시장,그 밖의 대규모점포
193,37.6613476,127.0381877,금강아미움쇼핑센터,그 밖의 대규모점포
194,37.6151353,127.0305527,롯데백화점 미아점,복합쇼핑몰
195,37.660882,127.0266718,신동아프라자,그 밖의 대규모점포
196,37.6423702,127.0375315,대우상가,그 밖의 대규모점포
197,37.6745497,127.0476765,도봉한양프라자,그 밖의 대규모점포
198,37.4981534,126.8530505,개봉중앙시장,그 밖의 대규모점포
199,37.6403179,127.0382958,삼익쇼핑,그 밖의 대규모점포
200,37.6657274,127.0436431,홈플러스(주)방학점,대형마트
201,37.6554248,127.045605,(주) 이마트 창동점,복합쇼핑몰
202,37.6472951,127.0702749,롯데마트 중계점,복합쇼핑몰
